"Title","Profile Link","Department","Designation","Qualification","Research Interests","Profile Image"
"Sulata Bhandari","https://pec.ac.in/sulata-bhandari","Department of Electrical Engineering","Associate professor","ME/MTech & Ph.D. (PEC)","Instrumentation Control Engg. & Biomedical Engg.","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/sulata.jpg?itok=ggv3_kvS"
"Tarlochan Kaur","https://pec.ac.in/tarlochan-kaur","Department of Electrical Engineering","Professor","B.E(Hons.)Elect. ; M.E (Elect.); Ph.D(Engg. & Tech.)","Power Systems, Renewable Energy Systems, Energy Planning & Management, Power Electronics .","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/tarlochan.jpg?itok=cwHHjVRP"
"Tejinder Singh Saggu","https://pec.ac.in/tejinder-singh-saggu","Department of Electrical Engineering","Assistant Professor","Ph.D. (PTU)","Power System, Transmission & Distribution, Switchgear, Renewable Energy, Power Quality","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/Photo_Tejinder_1.07%20MB.jpg?itok=U1Jcz2l8"
"Tilak Thakur","https://pec.ac.in/tilak-thakur","Department of Electrical Engineering","Professor","PhD IIT (ISM)","Mechatronics, Energy and Power system, Energy Management & Auditing","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/tilak.jpg?itok=trB0IeVL"
"Arun Kumar Singh","https://pec.ac.in/arun-kumar-singh","Department of Electronics & Communication Engineering","Associate Professor","Ph. D. (Nanoelectronics), Manchester (U. K.), M.Tech, B.Tech","•Novel nanoelectronic devices • Nanointerconnects and Nanoantennas for Terahertz applications • THz/IR Plasmonics • Graphene based photodetector • GaN HEMT for MMICs • RF and Microwave antennas","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/Arun_kumar_singh.jpg?itok=Hlypelp2"
"Bipan Kaushal","https://pec.ac.in/bipan-kaushal","Department of Electronics & Communication Engineering","Assistant Professor","M.E.","DSP (Bio- Medical signals ), Microelectronics (processing techniques)","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/bipan.jpg?itok=3wsMOGNf"
"Deepak Bagai","https://pec.ac.in/deepak-bagai","Department of Electronics & Communication Engineering","Professor","Ph.D","Electronic Waste Management, Communication Systems","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/deepak.jpg?itok=k2uSoIEd"
"Divya","https://pec.ac.in/divya-0","Department of Electronics & Communication Engineering","Associate Professor","M.Tech, PhD","Optical Communication,Photonics Systems","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/divya_0.jpg?itok=C0n4y9-x"
"Jasbir Kaur","https://pec.ac.in/jasbir-kaur","Department of Electronics & Communication Engineering","Assistant Professor","M.E, PhD","VLSI DESIGN,COMMUNICATION","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/jasbir.jpg?itok=qVth5lIa"
"Jyoti Kedia","https://pec.ac.in/jyoti-kedia","Department of Electronics & Communication Engineering","Assistant Professor","M.E, PhD","VLSI Design, Photonic Integrated design","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/jyoti.jpg?itok=UHKqJhyq"
"Nagendra Shah","https://pec.ac.in/nagendra-shah","Department of Electronics & Communication Engineering","Associate Professor","M.E., PURSUING Ph.D.","WIRELESS COMMUNICATION, COMPUTER COMMUNICATION AND NETWORKING, VLSI DESIGN.","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/nagendra.jpg?itok=yJuc8dkk"
"Neelam Rup Prakash","https://pec.ac.in/neelam-rup-prakash","Department of Electronics & Communication Engineering","Professor","PhD.","Digital Design, Communications, Computer Aided Diagnostics","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/neelam.jpg?itok=TFwOiba_"
"Neelu Jain","https://pec.ac.in/neelu-jain","Department of Electronics & Communication Engineering","Professor","PhD","Digital signal processing, Digital Image processing, Enbedded systems","","https://pec.ac.in/sites/default/files/styles/thumbnail/public/departments/faculty_uploads/neelu.jpg?itok=rnNcry_K"
